Station_name,Station_id,Request Datetime,id,status,price,free
Ackerstraße 131,zn686k,2023-07-17 09:52:17.649729+02:00,DESWDE000012101,2,,
Ackerstraße 131,zn686k,2023-07-17 09:52:17.649729+02:00,DESWDE000012102,3,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 09:52:18.283240+02:00,DESWDE019501,2,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 09:52:18.283240+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 09:52:18.831965+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 09:52:19.378704+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 09:52:19.378704+02:00,DESWDE036902,2,,
Platanenstr. 11,5y35yn,2023-07-17 10:11:46.516914+02:00,DESWDE024501,3,,
Platanenstr. 11,5y35yn,2023-07-17 10:11:46.516914+02:00,DESWDE024502,2,,
Platanenstr. 11,5y35yn,2023-07-17 10:11:46.516914+02:00,DESWDE024601,2,,
Platanenstr. 11,5y35yn,2023-07-17 10:11:46.516914+02:00,DESWDE024602,2,,
Lindenstraße 71,z228j8,2023-07-17 10:11:47.255017+02:00,DESWDE037701,2,,
Lindenstraße 71,z228j8,2023-07-17 10:11:47.255017+02:00,DESWDE037702,2,,
Lindenstraße 71,z228j8,2023-07-17 10:11:47.255017+02:00,DESWDE037703,3,,
Lindenstraße 71,z228j8,2023-07-17 10:11:47.255017+02:00,DESWDE037704,3,,
Ackerstraße 131,zn686k,2023-07-17 10:11:47.914969+02:00,DESWDE000012101,2,,
Ackerstraße 131,zn686k,2023-07-17 10:11:47.914969+02:00,DESWDE000012102,3,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 10:11:48.559812+02:00,DESWDE019501,2,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 10:11:48.559812+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 10:11:49.986355+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 10:11:50.616529+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 10:11:50.616529+02:00,DESWDE036902,2,,
Platanenstr. 11,5y35yn,2023-07-17 10:32:06.751525+02:00,DESWDE024501,3,,
Platanenstr. 11,5y35yn,2023-07-17 10:32:06.751525+02:00,DESWDE024502,2,,
Platanenstr. 11,5y35yn,2023-07-17 10:32:06.751525+02:00,DESWDE024601,2,,
Platanenstr. 11,5y35yn,2023-07-17 10:32:06.751525+02:00,DESWDE024602,2,,
Lindenstraße 71,z228j8,2023-07-17 10:32:07.277260+02:00,DESWDE037701,2,,
Lindenstraße 71,z228j8,2023-07-17 10:32:07.277260+02:00,DESWDE037702,2,,
Lindenstraße 71,z228j8,2023-07-17 10:32:07.277260+02:00,DESWDE037703,3,,
Lindenstraße 71,z228j8,2023-07-17 10:32:07.277260+02:00,DESWDE037704,3,,
Ackerstraße 131,zn686k,2023-07-17 10:32:07.806935+02:00,DESWDE000012101,2,,
Ackerstraße 131,zn686k,2023-07-17 10:32:07.806935+02:00,DESWDE000012102,3,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 10:32:08.313494+02:00,DESWDE019501,2,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 10:32:08.313494+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 10:32:08.799988+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 10:32:09.388684+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 10:32:09.388684+02:00,DESWDE036902,2,,
Platanenstr. 11,5y35yn,2023-07-17 10:43:51.860308+02:00,DESWDE024501,3,,
Platanenstr. 11,5y35yn,2023-07-17 10:43:51.860308+02:00,DESWDE024502,2,,
Platanenstr. 11,5y35yn,2023-07-17 10:43:51.860308+02:00,DESWDE024601,2,,
Platanenstr. 11,5y35yn,2023-07-17 10:43:51.860308+02:00,DESWDE024602,3,,
Lindenstraße 71,z228j8,2023-07-17 10:43:52.655808+02:00,DESWDE037701,2,,
Lindenstraße 71,z228j8,2023-07-17 10:43:52.655808+02:00,DESWDE037702,2,,
Lindenstraße 71,z228j8,2023-07-17 10:43:52.655808+02:00,DESWDE037703,3,,
Lindenstraße 71,z228j8,2023-07-17 10:43:52.655808+02:00,DESWDE037704,3,,
Ackerstraße 131,zn686k,2023-07-17 10:43:53.461076+02:00,DESWDE000012101,2,,
Ackerstraße 131,zn686k,2023-07-17 10:43:53.461076+02:00,DESWDE000012102,3,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 10:43:54.174777+02:00,DESWDE019501,2,,
Ackerstraße Schnelllader,2jqwpp,2023-07-17 10:43:54.174777+02:00,DESWDE019502,2,,
Hermannstr.22a,jqmy9n,2023-07-17 10:43:54.959277+02:00,DESWDE023801,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 10:43:55.671076+02:00,DESWDE036901,2,,
Birkenstraße 47a ,gjje3n,2023-07-17 10:43:55.671076+02:00,DESWDE036902,2,,
